
LastWriteTime        Length FullName                                                                                         
-------------        ------ --------                                                                                         
31/07/2026 02:29:50       0 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\FILE_TIMELINE_RECENT100.txt    
31/07/2026 02:29:01       2 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\FILE_TIMELINE_LAST3DAYS.txt    
31/07/2026 02:27:47 1275724 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\FILE_TIMELINE.txt              
31/07/2026 02:19:43   11708 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\nova-core\nova-core.m...
31/07/2026 02:18:04   11424 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\nova-core\nova-core.m...
31/07/2026 02:18:03   39535 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\nova-core\nova-core.e...
31/07/2026 02:17:22   26795 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\nova-core\nova-core.e...
31/07/2026 01:17:34   32159 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\tools\nova-core-runtime\Test...
31/07/2026 01:17:05   56978 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\tools\nova-core-runtime\Cere...
31/07/2026 01:14:39    8713 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\Docs\12_CERTIFICATION\LOT_CE...
31/07/2026 00:07:17    1023 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\tools\nova-core-runtime\Invo...
30/07/2026 23:51:56    1788 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\Docs\12_CERTIFICATION\certif...
30/07/2026 23:51:56     382 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\Docs\12_CERTIFICATION\PEOPLE...
30/07/2026 23:51:56    1927 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\Docs\12_CERTIFICATION\PEOPLE...
30/07/2026 23:44:42    1896 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\Docs\12_CERTIFICATION\PEOPLE...
30/07/2026 20:36:27   13454 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\domain\people\people-...
30/07/2026 20:34:11     845 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\domain\people\index.ts  
30/07/2026 20:34:11     319 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\domain\people\people-...
30/07/2026 20:34:10    4129 C:\DEV\NOVA_CORE_MVP_RUNTIME_AUTONOME_2026-07-24(1)\nova-core-mvp\server\domain\people\role-as...
